ZonăApartament,id,NumarAnunturi,PretMediu,PretMinim,PretMaxim,MetriPartrati_InMedie,PretMediu_MetruPatrat
"Timisoara, zona Complex Studentesc",5,83,100406.8072,65000,155000,67.185662648764,1357.142857142857
"Timisoara, zona Aradului",15,137,100644.5474,70000,200000,68.91496340897831,1261.1940298507463
"Timisoara, zona Lipovei",24,216,93243.5185,65000,195000,64.81231484589753,1656.8047711254949
"Timisoara, zona Torontalului",66,49,113604.449,50000,232434,70.91795940788425,1250.0
"Timisoara, zona Dorobantilor",169,21,94880.9048,60000,150000,72.07142857142857,1373.2394366197184
"Timisoara, zona Iosefin",183,46,107802.2609,54900,180000,81.02500003317128,1447.7611940298507
"Timisoara, zona Fabric",518,23,99173.0435,75900,145000,77.32173919677734,1523.076923076923
"Timisoara, zona Blascovici",740,5,86200.0,70000,105000,68.2,1428.5714285714287
"Timisoara, zona Elisabetin",1362,8,116630.0,70040,280000,76.27874946594238,1472.2222222222222
"Timisoara, zona Cetatii",3637,6,84175.5,65000,102563,61.17166646321615,1520.0
